epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.69161,0.71512,0.5,1,0.69688,0,0,0
2,13.7146,0.64986,0.5,1,0.68429,1.63399e-05,1.63399e-05,1.63399e-05
3,14.6176,0.68246,0.66667,1,0.67058,3.20197e-05,3.20197e-05,3.20197e-05
4,15.5752,0.71049,0.66667,1,0.65666,4.70394e-05,4.70394e-05,4.70394e-05
5,16.6656,0.65166,0.66667,1,0.64092,6.13989e-05,6.13989e-05,6.13989e-05
6,17.6108,0.67034,0.66667,1,0.62653,7.50984e-05,7.50984e-05,7.50984e-05
7,18.5459,0.64828,0.83333,1,0.61269,8.81376e-05,8.81376e-05,8.81376e-05
8,19.5095,0.60657,0.83333,1,0.59672,0.000100517,0.000100517,0.000100517
9,20.6604,0.57697,0.83333,1,0.58362,0.000112236,0.000112236,0.000112236
10,21.6774,0.55557,0.83333,1,0.56748,0.000123295,0.000123295,0.000123295
11,22.6264,0.54042,1,1,0.55037,0.000133693,0.000133693,0.000133693
12,23.572,0.51753,1,1,0.53382,0.000143432,0.000143432,0.000143432
13,24.5292,0.43778,1,1,0.51619,0.00015251,0.00015251,0.00015251
14,25.499,0.45333,1,1,0.49787,0.000160929,0.000160929,0.000160929
15,26.4149,0.403,1,1,0.47981,0.000168687,0.000168687,0.000168687
16,27.3343,0.37831,0.83333,1,0.46433,0.000175785,0.000175785,0.000175785
17,28.2117,0.34846,0.83333,1,0.44676,0.000182223,0.000182223,0.000182223
18,29.0888,0.35977,0.83333,1,0.4273,0.000188001,0.000188001,0.000188001
19,30.0538,0.25777,0.83333,1,0.4086,0.000193119,0.000193119,0.000193119
20,31.4987,0.26845,0.83333,1,0.3901,0.000197576,0.000197576,0.000197576
21,32.8744,0.22303,0.83333,1,0.36914,0.000201374,0.000201374,0.000201374
22,33.839,0.17325,1,1,0.34735,0.000204511,0.000204511,0.000204511
23,34.8167,0.22744,0.83333,1,0.32775,0.000206988,0.000206988,0.000206988
24,35.8438,0.13958,1,1,0.30742,0.000208805,0.000208805,0.000208805
25,36.9311,0.15268,1,1,0.28968,0.000209962,0.000209962,0.000209962
26,37.9303,0.11164,1,1,0.27387,0.000210459,0.000210459,0.000210459
27,38.9016,0.09657,1,1,0.25354,0.000210295,0.000210295,0.000210295
28,39.907,0.11949,1,1,0.23731,0.000209472,0.000209472,0.000209472
29,40.9089,0.08858,1,1,0.2209,0.000207988,0.000207988,0.000207988
30,42.131,0.04818,1,1,0.20656,0.000205844,0.000205844,0.000205844
31,43.0935,0.05484,1,1,0.19066,0.000203041,0.000203041,0.000203041
32,44.3269,0.06313,1,1,0.17673,0.000199577,0.000199577,0.000199577
33,45.4318,0.04004,1,1,0.16615,0.000195452,0.000195452,0.000195452
34,46.5379,0.03819,1,1,0.15535,0.000190668,0.000190668,0.000190668
35,47.5457,0.04658,1,1,0.14407,0.000185224,0.000185224,0.000185224
36,48.5779,0.04001,1,1,0.13434,0.000179119,0.000179119,0.000179119
37,49.55,0.03359,1,1,0.12508,0.000172354,0.000172354,0.000172354
38,50.5954,0.05884,1,1,0.11778,0.00016493,0.00016493,0.00016493
39,51.6504,0.03753,1,1,0.1119,0.000156845,0.000156845,0.000156845
40,52.7611,0.01934,1,1,0.1078,0.0001481,0.0001481,0.0001481
41,53.7818,0.02461,1,1,0.1034,0.000138694,0.000138694,0.000138694
42,54.7681,0.02951,1,1,0.09743,0.000128629,0.000128629,0.000128629
43,55.7933,0.01587,1,1,0.09513,0.000117904,0.000117904,0.000117904
44,56.9332,0.01582,1,1,0.09262,0.000106518,0.000106518,0.000106518
45,57.9642,0.01638,1,1,0.09167,9.44722e-05,9.44722e-05,9.44722e-05
46,58.9323,0.02481,1,1,0.08982,8.17663e-05,8.17663e-05,8.17663e-05
47,59.9199,0.06331,1,1,0.08997,6.84003e-05,6.84003e-05,6.84003e-05
48,60.9691,0.01427,1,1,0.09044,5.43742e-05,5.43742e-05,5.43742e-05
49,62.0339,0.03439,1,1,0.09047,3.96879e-05,3.96879e-05,3.96879e-05
50,62.9937,0.02899,1,1,0.09045,2.43415e-05,2.43415e-05,2.43415e-05
